NAME,PASSWORD
vuxuser1,vuxPassw0rd
vuxuser2,vuxPassw0rd
vuxuser3,vuxPassw0rd
vuxuser4,vuxPassw0rd
vuxuser5,vuxPassw0rd
vuxuser6,vuxPassw0rd
vuxuser7,vuxPassw0rd
vuxuser8,vuxPassw0rd
vuxuser9,vuxPassw0rd
vuxuser10,vuxPassw0rd
vuxuser11,vuxPassw0rd
vuxuser12,vuxPassw0rd
vuxuser13,vuxPassw0rd
vuxuser14,vuxPassw0rd
vuxuser15,vuxPassw0rd
vuxuser16,vuxPassw0rd
vuxuser17,vuxPassw0rd
vuxuser18,vuxPassw0rd
vuxuser19,vuxPassw0rd
vuxuser20,vuxPassw0rd
vuxuser21,vuxPassw0rd
vuxuser22,vuxPassw0rd
vuxuser23,vuxPassw0rd
vuxuser24,vuxPassw0rd
vuxuser25,vuxPassw0rd
vuxuser26,vuxPassw0rd
vuxuser27,vuxPassw0rd
vuxuser28,vuxPassw0rd
vuxuser29,vuxPassw0rd
vuxuser30,vuxPassw0rd
vuxuser31,vuxPassw0rd
vuxuser32,vuxPassw0rd
vuxuser33,vuxPassw0rd
vuxuser34,vuxPassw0rd
vuxuser35,vuxPassw0rd
vuxuser36,vuxPassw0rd
vuxuser37,vuxPassw0rd
vuxuser38,vuxPassw0rd
vuxuser39,vuxPassw0rd
vuxuser40,vuxPassw0rd
vuxuser41,vuxPassw0rd
vuxuser42,vuxPassw0rd
vuxuser43,vuxPassw0rd
vuxuser44,vuxPassw0rd
vuxuser45,vuxPassw0rd
vuxuser46,vuxPassw0rd
vuxuser47,vuxPassw0rd
vuxuser48,vuxPassw0rd
vuxuser49,vuxPassw0rd
vuxuser50,vuxPassw0rd
vuxuser51,vuxPassw0rd
vuxuser52,vuxPassw0rd
vuxuser53,vuxPassw0rd
vuxuser54,vuxPassw0rd
vuxuser55,vuxPassw0rd
vuxuser56,vuxPassw0rd
vuxuser57,vuxPassw0rd
vuxuser58,vuxPassw0rd
vuxuser59,vuxPassw0rd
vuxuser60,vuxPassw0rd
vuxuser61,vuxPassw0rd
vuxuser62,vuxPassw0rd
vuxuser63,vuxPassw0rd
vuxuser64,vuxPassw0rd
vuxuser65,vuxPassw0rd
vuxuser66,vuxPassw0rd
vuxuser67,vuxPassw0rd
vuxuser68,vuxPassw0rd
vuxuser69,vuxPassw0rd
vuxuser70,vuxPassw0rd
vuxuser71,vuxPassw0rd
vuxuser72,vuxPassw0rd
vuxuser73,vuxPassw0rd
vuxuser74,vuxPassw0rd
vuxuser75,vuxPassw0rd
vuxuser76,vuxPassw0rd
vuxuser77,vuxPassw0rd
vuxuser78,vuxPassw0rd
vuxuser79,vuxPassw0rd
vuxuser80,vuxPassw0rd
vuxuser81,vuxPassw0rd
vuxuser82,vuxPassw0rd
vuxuser83,vuxPassw0rd
vuxuser84,vuxPassw0rd
vuxuser85,vuxPassw0rd
vuxuser86,vuxPassw0rd
vuxuser87,vuxPassw0rd
vuxuser88,vuxPassw0rd
vuxuser89,vuxPassw0rd
vuxuser90,vuxPassw0rd
vuxuser91,vuxPassw0rd
vuxuser92,vuxPassw0rd
vuxuser93,vuxPassw0rd
vuxuser94,vuxPassw0rd
vuxuser95,vuxPassw0rd
vuxuser96,vuxPassw0rd
vuxuser97,vuxPassw0rd
vuxuser98,vuxPassw0rd
vuxuser99,vuxPassw0rd
vuxuser100,vuxPassw0rd
